TK,1,2
#Date: 04.11.2023 12.53.44
1,1,64-48.4663-N,054-12.0256-W,0,14764,5,0,2023,10,22,22,47,35,1,101,0
2,1,64-48.4683-N,054-12.0309-W,0,14764,5,0,2023,10,22,22,47,36,0,102,0
3,1,65-44.7404-N,057-06.9408-W,0,0,2,0,2023,10,23,7,52,51,1,8,0
4,1,65-44.7440-N,057-06.9519-W,0,0,2,0,2023,10,23,7,52,58,0,10,0
5,1,65-44.7422-N,057-06.9476-W,0,0,2,0,2023,10,23,7,53,4,0,9,0
6,1,65-44.7452-N,057-06.9600-W,0,0,2,0,2023,10,23,7,53,9,0,11,0
7,1,65-44.7443-N,057-06.9628-W,0,0,2,0,2023,10,23,7,53,14,0,12,0
8,1,65-44.7428-N,057-06.9587-W,0,0,2,0,2023,10,23,7,53,19,0,11,0
9,1,65-44.7438-N,057-06.9574-W,0,0,2,0,2023,10,23,7,53,26,0,11,0
10,1,65-44.7417-N,057-06.9541-W,0,0,2,0,2023,10,23,7,53,31,0,8,0
11,1,65-44.7425-N,057-06.9539-W,0,0,2,0,2023,10,23,7,53,36,0,9,0
12,1,65-44.7443-N,057-06.9603-W,0,0,2,0,2023,10,23,7,53,44,0,10,0
13,1,65-44.7434-N,057-06.9547-W,0,0,2,0,2023,10,23,7,53,49,0,9,0
14,1,65-44.7413-N,057-06.9511-W,0,0,2,0,2023,10,23,7,53,54,0,3,0
15,1,65-44.7460-N,057-06.9582-W,0,0,2,0,2023,10,23,7,53,59,0,7,0
16,1,65-44.7466-N,057-06.9577-W,0,0,2,0,2023,10,23,7,54,4,0,11,0
17,1,65-44.7446-N,057-06.9535-W,0,0,2,0,2023,10,23,7,54,9,0,8,0
18,1,65-44.7474-N,057-06.9569-W,0,0,2,0,2023,10,23,7,54,17,0,10,0
19,1,65-44.7481-N,057-06.9480-W,0,0,2,0,2023,10,23,7,54,22,0,8,0
20,1,65-44.7469-N,057-06.9430-W,0,0,2,0,2023,10,23,7,54,27,0,9,0
21,1,65-44.7497-N,057-06.9470-W,0,0,2,0,2023,10,23,7,54,34,0,10,0
22,1,65-44.7534-N,057-06.9576-W,0,0,2,0,2023,10,23,7,54,39,0,10,0
23,1,65-44.7517-N,057-06.9529-W,0,0,2,0,2023,10,23,7,54,46,0,9,0
24,1,65-44.7518-N,057-06.9449-W,0,0,2,0,2023,10,23,7,54,52,0,4,0
25,1,65-44.7504-N,057-06.9403-W,0,0,2,0,2023,10,23,7,54,57,0,7,0
26,1,65-44.7506-N,057-06.9325-W,0,0,2,0,2023,10,23,7,55,2,0,7,0
27,1,65-44.7550-N,057-06.9335-W,0,0,2,0,2023,10,23,7,55,9,0,8,0
28,1,65-44.7551-N,057-06.9255-W,0,0,2,0,2023,10,23,7,55,14,0,6,0
29,1,65-44.7565-N,057-06.9229-W,0,0,2,0,2023,10,23,7,55,19,0,7,0
30,1,65-44.7535-N,057-06.9130-W,0,0,2,0,2023,10,23,7,55,27,0,5,0
31,1,65-44.7574-N,057-06.9234-W,0,0,2,0,2023,10,23,7,55,32,0,7,0
32,1,65-44.7564-N,057-06.9180-W,0,0,2,0,2023,10,23,7,55,37,0,6,0
33,1,65-44.7532-N,057-06.9086-W,0,0,2,0,2023,10,23,7,55,44,0,6,0
34,1,65-44.7518-N,057-06.9041-W,0,0,2,0,2023,10,23,7,55,49,0,6,0
35,1,65-44.7568-N,057-06.9216-W,0,0,2,0,2023,10,23,7,55,54,0,7,0
36,1,65-44.7532-N,057-06.9132-W,0,0,2,0,2023,10,23,7,56,2,0,6,0
37,1,65-44.7566-N,057-06.9248-W,0,0,2,0,2023,10,23,7,56,7,0,6,0
38,1,65-44.7543-N,057-06.9219-W,0,0,2,0,2023,10,23,7,56,12,0,6,0
39,1,65-44.7512-N,057-06.9128-W,0,0,2,0,2023,10,23,7,56,19,0,5,0
40,1,65-44.7502-N,057-06.9083-W,0,0,2,0,2023,10,23,7,56,24,0,4,0
41,1,65-44.7555-N,057-06.9247-W,0,0,2,0,2023,10,23,7,56,29,0,2,0
42,1,65-44.7530-N,057-06.9141-W,0,0,2,0,2023,10,23,7,56,36,0,2,0
43,1,65-44.7580-N,057-06.9232-W,0,0,2,0,2023,10,23,7,56,42,0,4,0
44,1,65-44.7583-N,057-06.9158-W,0,0,2,0,2023,10,23,7,56,47,0,3,0
45,1,65-44.7585-N,057-06.9085-W,0,0,2,0,2023,10,23,7,56,52,0,2,0
46,1,65-44.7611-N,057-06.9211-W,0,0,2,0,2023,10,23,7,56,57,0,3,0
47,1,65-44.7605-N,057-06.9150-W,0,0,2,0,2023,10,23,7,57,2,0,4,0
48,1,65-44.7618-N,057-06.9143-W,0,0,2,0,2023,10,23,7,57,7,0,3,0
49,1,65-44.7632-N,057-06.9217-W,0,0,2,0,2023,10,23,7,57,15,0,5,0
50,1,65-44.7620-N,057-06.9168-W,0,0,2,0,2023,10,23,7,57,20,0,6,0
51,1,65-44.7600-N,057-06.9134-W,0,0,2,0,2023,10,23,7,57,25,0,5,0
52,1,65-44.7627-N,057-06.9186-W,0,0,2,0,2023,10,23,7,57,32,0,4,0
53,1,65-44.7616-N,057-06.9136-W,0,0,2,0,2023,10,23,7,57,37,0,4,0
54,1,65-44.7585-N,057-06.9120-W,0,0,2,0,2023,10,23,7,57,44,0,4,0
55,1,65-44.7575-N,057-06.9069-W,0,0,2,0,2023,10,23,7,57,49,0,3,0
56,1,65-44.7560-N,057-06.9019-W,0,0,2,0,2023,10,23,7,57,55,0,3,0
