"DateT","Pos","Wind_dir","Windspeed_kt","Wave_ht_m","Swell_ht_m","Air_temp_C","Sea_temp_C","Vis","Cloud_cover_pct","Comments"
2022-11-01 18:23:00,"66d59.0082N 57d35.8817W","N",5,0.2,0.5,-3,0.4,15,70,"na"
2022-11-02 12:34:00,"67d0.024N 57d40.409W","NNE",18,1,0.5,-1.5,0,15,30,"na"
2022-11-02 15:00:00,"67d0.0267N 57d43.8111W","NNE",15,1,0.5,3,0,15,5,"na"
2022-11-02 16:12:00,"67d4.7016N 58d14.5378W","NE",14,0.5,0.5,2,0,15,30,"na"
2022-11-02 19:24:00,"67d22.453N 59d41.3024W","NE",11,0.4,0.5,-1.1,0,15,30,"na"
